Country Name,admin,"Employers, male (% of employment)","Employers, female (% of employment)","Employers, total (% of employment)",GDP growth (annual %),Labor force with primary education (% of total)
Afghanistan,AFG, , , ,1.9985332025, 
Albania,ALB,2.2999999523,1,1.7000000477,1.9,60.0999984741
Algeria,DZA,4.5999999046,1.8999999762,4.0999999046,4.0999988395,52.9000015259
American Samoa,ASM,2.9000000954,1.2000000477,2.2000000477, , 
Andorra,ADO, , , ,-0.0635143126, 
Angola,AGO, , , ,3.901265128, 
Antigua and Barbuda,ATG,4.8000001907,2.4000000954,3.5999999046,3.221505237,15.8000001907
Argentina,ARG,4.9000000954,2.7000000477,4,0.4692570602,35
Armenia,ARM,1,0.3000000119,0.6000000238,3.4000000011,7.8000001907
Aruba,ABW,6.3000001907,2.5,4.5,-5.6535020861,80.6999969482
Australia,AUS,3.4000000954,2.0999999046,2.7999999523,2.4749103189,27.2999992371
Austria,AUT,6.5,2.2999999523,4.5,0.3007275886,16
Azerbaijan,AZE,11.3999996185,8.6999998093,10.1000003815,2,12.8000001907
"Bahamas, The",BHS, , , ,1.0227861048,14.8999996185
Bahrain,BHR,2.0999999046,0.6000000238,1.7999999523,4.5067953792,28.5
Bangladesh,BGD,0.3000000119,0.1000000015,0.3000000119,6.1162241655, 
Barbados,BRB,1.1000000238,0.6000000238,0.8999999762,0.2074688797,14.8000001907
Belarus,BLR,1.3999999762,0.6999999881,1.1000000238,1.5878016192,3.2999999523
Belgium,BEL,6,2.2999999523,4.3000001907,1.0665461503,20.8999996185
Belize,BLZ,8.3999996185,4.5,7.0999999046,1.5256752732,42.4000015259
Benin,BEN, , , ,5.3690983968, 
Bermuda,BMU, , , ,-2.511154431,8.1999998093
Bhutan,BTN,20.7999992371,18.2000007629,19.5,6.2561838801, 
Bolivia,BOL,6.5999999046,2.7000000477,4.8000001907,5.3990854292,37.7000007629
Bosnia and Herzegovina,BIH, , , ,1.2460229982,20.3999996185
Botswana,BWA,3.2000000477,2.0999999046,2.7000000477,4.4210638121,55.9000015259
Brazil,BRA,5.5,2.7000000477,4.3000001907,0.1447073541,37
Brunei Darussalam,BRN,1.2000000477,0.5,1,5.3, 
Bulgaria,BGR,5.4000000954,2.2999999523,3.9000000954,1.705473502,13.3000001907
Burkina Faso,BFA,1.1000000238,0.400000006,0.8000000119,4.0497608979, 
Burundi,BDI, , ,0.1000000015,4.6609181845, 
Cabo Verde,CPV,3.2999999523,1.6000000238,2.5,2.7382468882, 
Cambodia,KHM,0,0,0,7.0317095561,28
Cameroon,CMR,4.8000001907,1.6000000238,3.2999999523,5.8862946636, 
Canada,CAN, , , ,2.5317702248,13.5
Cayman Islands,CYM,7.5999999046,2.7000000477,5.1999998093,5.3052027857,18.5
Central African Republic,CAF, , , ,1.0103291292, 
Chad,TCD,0.3000000119,0.1000000015,0.200000003,7.3000007131,24.2000007629
Channel Islands,CHI, , , ,5.8983296615, 
Chile,CHL,3.5,1.7999999523,2.9000000954,1.8940490238,22
China,CHN, , , ,7.3510000218, 
Colombia,COL,6.1999998093,2.9000000954,4.8000001907,4.5525009917,28.5
Comoros,COM, , , ,3.0036603086, 
"Congo, Dem. Rep.",ZAR, , , ,9.0465961608, 
"Congo, Rep.",COG,1.7000000477,0.5,1.1000000238,6.5462000121, 
Costa Rica,CRI,4.6999998093,2,3.7000000477,3.5023522312,37.5
Cote d'Ivoire,CIV,0.6000000238,0.400000006,0.5,8.9954973863, 
Croatia,HRV,6.0999999046,2.4000000954,4.4000000954,-0.399950151,14.6000003815
Cuba,CUB, , , ,2.6860325518,33
Curacao,CUW, , , , , 
Cyprus,CYP,6.5999999046,1.2999999523,4,-2.2552590907,19.1000003815
Czech Republic,CZE,4.5,1.8999999762,3.4000000954,1.9916173269,5.5999999046
Denmark,DNK,5.0999999046,1.7000000477,3.5,1.1342915197,23.2000007629
Djibouti,DJI,1.3999999762,0.8999999762,1.2000000477,5.4993684471, 
Dominica,DMA,6.0999999046,3.2999999523,5,2.4288107203,67.9000015259
Dominican Republic,DOM,3.9000000954,2.2000000477,3.2000000477,7.3408783649,39.2000007629
Ecuador,ECU,4.6999998093,2.2000000477,3.7000000477,3.8020801368,37.7000007629
"Egypt, Arab Rep.",EGY,15.1999998093,2.2000000477,12.6000003815,2.2000000078,10.3999996185
El Salvador,SLV,5.1999998093,3.0999999046,4.3000001907,2,24.6000003815
Equatorial Guinea,GNQ, , , ,-3.107357222, 
Eritrea,ERI, , , ,1.7034411798, 
Estonia,EST,6,1.3999999762,3.7999999523,2.0826159096,9.6999998093
Ethiopia,ETH,0.8999999762,0.200000003,0.6000000238,9.936059663,20.7000007629
Faeroe Islands,FRO, , , , , 
Fiji,FJI,1.6000000238,0.8999999762,1.3999999762,3.7998081388, 
